,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole
0,52.0,No,Travel_Rarely,Research & Development,9,4,Medical,2,Male,3,3,Research Director,3,Single,8446.0,9,No,17,3.0,3,0,2.0,2,8.0,7
1,36.0,No,Travel_Rarely,Research & Development,1,1,Life Sciences,2,Male,3,5,Manager,3,Divorced,4834.0,1,Yes,14,3.0,3,1,3.0,3,1.0,8
2,27.0,No,Travel_Frequently,Sales,16,3,Life Sciences,3,Male,3,2,Sales Executive,4,Divorced,4768.0,1,Yes,25,3.0,3,1,4.0,3,1.0,5
3,33.0,No,Travel_Rarely,Research & Development,5,4,Technical Degree,2,Male,3,1,Research Scientist,2,Single,2799.0,2,No,14,3.0,2,0,1.0,3,3.0,7
4,37.0,No,Travel_Rarely,Research & Development,9,2,Life Sciences,3,Female,3,1,Laboratory Technician,4,Single,7978.0,1,No,12,3.0,3,0,2.0,3,10.0,2
5,35.0,No,Travel_Rarely,Research & Development,7,3,Life Sciences,4,Male,4,1,Research Scientist,3,Divorced,2269.0,1,No,11,3.0,4,3,2.0,3,1.0,2
6,27.0,No,Non-Travel,Sales,4,2,Life Sciences,3,Male,3,1,Sales Representative,2,Married,8726.0,2,No,11,3.0,1,1,0.0,3,9.0,3
7,37.0,No,Travel_Rarely,Sales,8,2,Life Sciences,1,Female,3,3,Sales Executive,4,Divorced,5731.0,1,No,18,3.0,1,1,2.0,3,6.0,7
8,42.0,No,Travel_Rarely,Sales,1,3,Life Sciences,4,Male,3,2,Sales Executive,3,Married,5410.0,0,No,12,3.0,1,1,3.0,3,4.0,7
9,23.0,No,Travel_Frequently,Sales,3,1,Medical,4,Male,4,2,Sales Executive,4,Divorced,1790.0,1,Yes,20,3.0,2,2,5.0,3,1.0,5
10,20.0,No,Travel_Frequently,Research & Development,2,4,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,2323.0,1,No,13,3.0,4,1,3.0,3,2.0,0
11,33.0,No,Travel_Rarely,Research & Development,17,2,Life Sciences,4,Male,4,2,Research Scientist,1,Single,3375.0,3,Yes,13,3.0,3,0,2.0,3,3.0,2
12,52.0,No,Travel_Rarely,Research & Development,9,3,Life Sciences,2,Male,3,2,Laboratory Technician,2,Divorced,8740.0,8,No,18,3.0,3,1,3.0,1,34.0,9
13,30.0,Yes,Travel_Rarely,Sales,9,3,Life Sciences,3,Male,1,4,Sales Executive,3,Married,2693.0,7,No,11,3.0,3,0,4.0,1,1.0,5
14,35.0,No,Travel_Rarely,Research & Development,29,3,Life Sciences,2,Male,3,2,Manufacturing Director,2,Married,2690.0,1,No,13,3.0,4,1,5.0,2,1.0,8
15,28.0,No,Travel_Rarely,Research & Development,1,3,Medical,4,Female,3,1,Research Scientist,2,Married,3310.0,0,Yes,21,4.0,1,1,3.0,3,5.0,9
16,39.0,No,Travel_Rarely,Research & Development,5,3,Medical,3,Male,2,3,Manager,1,Single,3069.0,2,No,12,3.0,4,0,3.0,3,10.0,10
17,59.0,No,Travel_Rarely,Sales,26,2,Life Sciences,2,Female,2,2,Sales Executive,2,Single,13726.0,8,No,15,3.0,3,0,4.0,3,5.0,2
18,34.0,No,Travel_Rarely,Research & Development,12,2,Other,4,Male,3,1,Laboratory Technician,4,Single,2008.0,1,No,13,3.0,3,0,3.0,4,1.0,2
19,35.0,No,Travel_Rarely,Research & Development,1,3,Technical Degree,4,Male,3,3,Research Director,1,Married,4505.0,1,No,13,3.0,2,1,3.0,3,13.0,12
20,37.0,No,Travel_Rarely,Research & Development,4,3,Medical,4,Female,3,2,Healthcare Representative,2,Single,3452.0,9,No,12,4.0,4,0,3.0,2,5.0,2
21,38.0,No,Travel_Rarely,Sales,8,4,Life Sciences,1,Female,3,2,Sales Executive,1,Married,4627.0,2,No,13,3.0,4,1,3.0,1,7.0,2
